127.0.0.1 - - [27/Dec/2015:00:04:11 +0100] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:14 +0100] "GET /UfoClient/faces/index.xhtml HTTP/1.1" 200 4096
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:14 +0100] "GET /UfoClient/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:14 +0100] "GET /UfoClient/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:14 +0100] "GET /UfoClient/faces/javax.faces.resource/base.css?ln=css HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:15 +0100] "GET /UfoClient/faces/javax.faces.resource/nav.css?ln=css HTTP/1.1" 200 1376
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:15 +0100] "GET /UfoClient/faces/javax.faces.resource/layout.css?ln=css HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:15 +0100] "GET /UfoClient/faces/javax.faces.resource/normalize.css?ln=css HTTP/1.1" 200 7798
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:15 +0100] "GET /UfoClient/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:15 +0100] "GET /UfoClient/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:32 +0100] "GET /UfoClient/faces/index.xhtml HTTP/1.1" 200 3974
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:32 +0100] "GET /UfoClient/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:32 +0100] "GET /UfoClient/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:32 +0100] "GET /UfoClient/faces/javax.faces.resource/base.css?ln=css HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:32 +0100] "GET /UfoClient/faces/javax.faces.resource/normalize.css?ln=css HTTP/1.1" 200 7798
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:32 +0100] "GET /UfoClient/faces/javax.faces.resource/layout.css?ln=css HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:32 +0100] "GET /UfoClient/faces/javax.faces.resource/nav.css?ln=css HTTP/1.1" 200 1376
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:32 +0100] "GET /UfoClient/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:32 +0100] "GET /UfoClient/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:42 +0100] "GET /UfoClient/faces/index.xhtml HTTP/1.1" 200 3974
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:42 +0100] "GET /UfoClient/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:42 +0100] "GET /UfoClient/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:42 +0100] "GET /UfoClient/faces/javax.faces.resource/normalize.css?ln=css HTTP/1.1" 200 7798
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:42 +0100] "GET /UfoClient/faces/javax.faces.resource/base.css?ln=css HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:43 +0100] "GET /UfoClient/faces/javax.faces.resource/layout.css?ln=css HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:43 +0100] "GET /UfoClient/faces/javax.faces.resource/nav.css?ln=css HTTP/1.1" 200 1376
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:43 +0100] "GET /UfoClient/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:04:43 +0100] "GET /UfoClient/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:10:54 +0100] "GET /UfoClient/faces/index.xhtml HTTP/1.1" 200 3974
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:10:54 +0100] "GET /UfoClient/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:10:54 +0100] "GET /UfoClient/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:10:54 +0100] "GET /UfoClient/faces/javax.faces.resource/base.css?ln=css HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:10:54 +0100] "GET /UfoClient/faces/javax.faces.resource/nav.css?ln=css HTTP/1.1" 200 1376
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:10:54 +0100] "GET /UfoClient/faces/javax.faces.resource/normalize.css?ln=css HTTP/1.1" 200 7798
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:10:54 +0100] "GET /UfoClient/faces/javax.faces.resource/layout.css?ln=css HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:10:54 +0100] "GET /UfoClient/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:10:54 +0100] "GET /UfoClient/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:11:04 +0100] "GET /UfoClient/faces/index.xhtml HTTP/1.1" 200 3974
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:11:04 +0100] "GET /UfoClient/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:11:04 +0100] "GET /UfoClient/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:11:04 +0100] "GET /UfoClient/faces/javax.faces.resource/base.css?ln=css HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:11:04 +0100] "GET /UfoClient/faces/javax.faces.resource/normalize.css?ln=css HTTP/1.1" 200 7798
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:11:04 +0100] "GET /UfoClient/faces/javax.faces.resource/nav.css?ln=css HTTP/1.1" 200 1376
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:11:04 +0100] "GET /UfoClient/faces/javax.faces.resource/layout.css?ln=css HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:11:04 +0100] "GET /UfoClient/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=5.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2015:00:11:04 +0100] "GET /UfoClient/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=5.1 HTTP/1.1" 304 -
